timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682193132434,95,(GET) Logowanie,200,OK,Thread Group 1-1,text,true,,1403,125,1,1,http://localhost:3000/logowanie,81,0,47
1682193132535,1295,(POST) Logowanie,200,OK,Thread Group 1-1,text,true,,6575,424,1,1,http://localhost:3000/strona_glowna,564,0,0
1682193132535,564,(POST) Logowanie-0,302,Found,Thread Group 1-1,text,true,,266,295,1,1,http://localhost:3000/logowanie,564,0,0
1682193133102,728,(POST) Logowanie-1,200,OK,Thread Group 1-1,text,true,,6309,129,1,1,http://localhost:3000/strona_glowna,728,0,0
1682193132337,1390,Logowanie,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,7978,549,1,1,null,645,105,47
1682193133834,839,(GET) Strona-główna,304,Not Modified,Thread Group 1-1,,true,,180,182,1,1,http://localhost:3000/strona_glowna,0,0,0
1682193134678,910,(GET) Klienci,200,OK,Thread Group 1-1,text,true,,4028,137,1,1,http://localhost:3000/strona_glowna/klienci,909,0,0
1682193135589,413,(GET) Dodaj-klienta,200,OK,Thread Group 1-1,text,true,,5628,143,1,1,http://localhost:3000/strona_glowna/dodaj_klienta,413,0,0
1682193136004,1993,(POST) Dodaj-klienta,200,OK,Thread Group 1-1,text,true,,9070,780,1,1,http://localhost:3000/strona_glowna/klienci/64443af0e8d7561b24595e0a,1016,0,0
1682193136004,1016,(POST) Dodaj-klienta-0,302,Found,Thread Group 1-1,text,true,,332,618,1,1,http://localhost:3000/strona_glowna/dodaj_klienta,1016,0,0
1682193137021,976,(POST) Dodaj-klienta-1,200,OK,Thread Group 1-1,text,true,,8738,162,1,1,http://localhost:3000/strona_glowna/klienci/64443af0e8d7561b24595e0a,976,0,0
1682193138000,1076,(GET) Otwórz-klienta,304,Not Modified,Thread Group 1-1,,true,,180,215,1,1,http://localhost:3000/strona_glowna/klienci/64443af0e8d7561b24595e0a,0,0,0
1682193139077,611,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-1,text,true,,2975,177,1,1,http://localhost:3000/strona_glowna/klienci/64443af0e8d7561b24595e0a/edytuj_klienta,610,0,0
1682193139690,1839,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-1,text,true,,9094,638,1,1,http://localhost:3000/strona_glowna/klienci/64443af0e8d7561b24595e0a,808,0,0
1682193139690,808,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-1,text,true,,332,423,1,1,http://localhost:3000/strona_glowna/klienci/64443af0e8d7561b24595e0a/edytuj_klienta,808,0,0
1682193140499,1030,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-1,text,true,,8762,215,1,1,http://localhost:3000/strona_glowna/klienci/64443af0e8d7561b24595e0a,1030,0,0
