timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682193804451,2534,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-26,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2534,0,0
1682193804466,2551,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-29,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2551,0,0
1682193804569,2465,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-28,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2465,0,0
1682193804644,2429,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-23,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2429,0,0
1682193804710,2437,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-32,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2437,0,0
1682193804725,2463,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-24,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2463,0,0
1682193804795,2507,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-31,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2507,0,0
1682193804874,2465,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-30,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2465,0,0
1682193805064,2432,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-41,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2432,0,0
1682193805043,2466,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-37,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2466,0,0
1682193805088,2467,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-34,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2467,0,0
1682193805171,2486,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-36,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2486,0,0
1682193805212,2453,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-39,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2453,0,0
1682193805230,2440,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-35,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2440,0,0
1682193805274,2499,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-40,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2499,0,0
1682193805263,2530,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-33,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2530,0,0
1682193805341,2475,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-43,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2475,0,0
1682193805422,2429,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-38,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2429,0,0
1682193805407,2469,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-42,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2469,0,0
1682193805442,2527,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-47,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2527,0,0
1682193805460,2538,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-44,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2538,0,0
1682193805567,2445,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-45,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2445,0,0
1682193805745,2429,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-48,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2429,0,0
1682193805711,2466,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-46,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2466,0,0
1682193805800,2446,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-50,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2445,0,0
1682193805837,2432,(GET) Edytuj-dane-klienta,200,OK,Thread Group 1-49,text,true,,2975,177,50,50,http://localhost:3000/strona_glowna/klienci/64443d82e8d7561b24597829/edytuj_klienta,2432,0,0
1682193801907,6493,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-2,text,true,,12621,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976b7,2431,0,0
1682193801907,2431,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-2,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976b7/edytuj_klienta,2431,0,0
1682193804339,4061,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-2,text,true,,12289,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976b7,4061,0,0
1682193801861,6581,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-4,text,true,,12621,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976b7,2414,0,0
1682193801861,2414,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-4,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976b7/edytuj_klienta,2414,0,0
1682193804275,4167,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-4,text,true,,12289,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976b7,4167,0,0
1682193802993,6634,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-3,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976e8,2486,0,0
1682193802993,2486,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-3,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976e8/edytuj_klienta,2486,0,0
1682193805479,4148,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-3,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976e8,4147,0,0
1682193803172,6573,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-1,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d7ee8d7561b24597721,2579,0,0
1682193803172,2579,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-1,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d7ee8d7561b24597721/edytuj_klienta,2579,0,0
1682193805755,3990,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-1,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d7ee8d7561b24597721,3990,0,0
1682193808402,1588,(GET) Dodaj-usługę,200,OK,Thread Group 1-2,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976b7/dodaj_usluge,1588,0,0
1682193803576,6600,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-12,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d7ee8d7561b24597725,2524,0,0
1682193803576,2524,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-12,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d7ee8d7561b24597725/edytuj_klienta,2524,0,0
1682193806101,4075,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-12,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d7ee8d7561b24597725,4075,0,0
1682193803852,6496,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-5,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d7fe8d7561b2459774a,2495,0,0
1682193803852,2495,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-5,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d7fe8d7561b2459774a/edytuj_klienta,2495,0,0
1682193806348,4000,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-5,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d7fe8d7561b2459774a,4000,0,0
1682193808444,1976,(GET) Dodaj-usługę,200,OK,Thread Group 1-4,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976b7/dodaj_usluge,1976,0,0
1682193804658,6492,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-7,text,true,,19673,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788,2473,0,0
1682193804658,2473,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-7,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788/edytuj_klienta,2473,0,0
1682193807133,4017,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-7,text,true,,19341,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788,4017,0,0
1682193809628,1615,(GET) Dodaj-usługę,200,OK,Thread Group 1-3,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d7de8d7561b245976e8/dodaj_usluge,1615,0,0
1682193804755,6574,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-10,text,true,,19673,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788,2470,0,0
1682193804755,2470,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-10,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788/edytuj_klienta,2470,0,0
1682193807226,4103,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-10,text,true,,19341,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788,4103,0,0
1682193804763,6608,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-6,text,true,,19673,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788,2466,0,0
1682193804763,2466,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-6,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788/edytuj_klienta,2466,0,0
1682193807230,4141,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-6,text,true,,19341,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788,4141,0,0
1682193804801,6585,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-8,text,true,,19673,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788,2505,0,0
1682193804801,2505,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-8,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788/edytuj_klienta,2505,0,0
1682193807307,4079,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-8,text,true,,19341,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b24597788,4079,0,0
1682193809746,1649,(GET) Dodaj-usługę,200,OK,Thread Group 1-1,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d7ee8d7561b24597721/dodaj_usluge,1649,0,0
1682193805242,6537,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-11,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b245977ac,2464,0,0
1682193805242,2464,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-11,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b245977ac/edytuj_klienta,2464,0,0
1682193807707,4072,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-11,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d80e8d7561b245977ac,4072,0,0
1682193810185,1612,(GET) Dodaj-usługę,200,OK,Thread Group 1-12,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d7ee8d7561b24597725/dodaj_usluge,1612,0,0
1682193805313,6646,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-9,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977be,2513,0,0
1682193805313,2513,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-9,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977be/edytuj_klienta,2513,0,0
1682193807828,4131,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-9,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977be,4131,0,0
1682193810348,1620,(GET) Dodaj-usługę,200,OK,Thread Group 1-5,text,true,,4679,175,50,50,http://localhost:3000/strona_glowna/klienci/64443d7fe8d7561b2459774a/dodaj_usluge,1620,0,0
1682193805876,6474,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-15,text,true,,12621,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977e8,2405,0,0
1682193805876,2405,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-15,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977e8/edytuj_klienta,2405,0,0
1682193808281,4069,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-15,text,true,,12289,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977e8,4069,0,0
1682193805965,6453,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-13,text,true,,12621,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977e8,2385,0,0
1682193805965,2385,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-13,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977e8/edytuj_klienta,2385,0,0
1682193808350,4068,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-13,text,true,,12289,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977e8,4068,0,0
1682193805938,6488,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-17,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977f3,2405,0,0
1682193805938,2405,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-17,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977f3/edytuj_klienta,2405,0,0
1682193808343,4083,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-17,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977f3,4083,0,0
1682193805893,6578,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-14,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977dc,2453,0,0
1682193805893,2453,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-14,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977dc/edytuj_klienta,2453,0,0
1682193808346,4125,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-14,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977dc,4125,0,0
1682193806024,6471,(POST) Edytuj-dane-klienta,200,OK,Thread Group 1-16,text,true,,9094,638,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977ee,2398,0,0
1682193806024,2398,(POST) Edytuj-dane-klienta-0,302,Found,Thread Group 1-16,text,true,,332,423,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977ee/edytuj_klienta,2398,0,0
1682193808423,4072,(POST) Edytuj-dane-klienta-1,200,OK,Thread Group 1-16,text,true,,8762,215,50,50,http://localhost:3000/strona_glowna/klienci/64443d81e8d7561b245977ee,4072,0,0
