timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682193561582,44,(GET) Logowanie,200,OK,Thread Group 1-1,text,true,,1403,125,1,1,http://localhost:3000/logowanie,38,0,25
1682193561702,6,(GET) Logowanie,200,OK,Thread Group 1-2,text,true,,1403,125,2,2,http://localhost:3000/logowanie,6,0,1
1682193561948,264,(GET) Logowanie,200,OK,Thread Group 1-3,text,true,,1403,125,4,4,http://localhost:3000/logowanie,264,0,0
1682193562191,35,(GET) Logowanie,200,OK,Thread Group 1-4,text,true,,1403,125,4,4,http://localhost:3000/logowanie,35,0,1
1682193562447,8,(GET) Logowanie,200,OK,Thread Group 1-5,text,true,,1403,125,5,5,http://localhost:3000/logowanie,8,0,2
1682193562664,297,(GET) Logowanie,200,OK,Thread Group 1-6,text,true,,1403,125,6,6,http://localhost:3000/logowanie,297,0,1
1682193562967,100,(GET) Logowanie,200,OK,Thread Group 1-7,text,true,,1403,125,7,7,http://localhost:3000/logowanie,100,0,1
1682193563196,8,(GET) Logowanie,200,OK,Thread Group 1-8,text,true,,1403,125,8,8,http://localhost:3000/logowanie,8,0,2
1682193563460,269,(GET) Logowanie,200,OK,Thread Group 1-9,text,true,,1403,125,10,10,http://localhost:3000/logowanie,269,0,1
1682193561709,2146,(POST) Logowanie,200,OK,Thread Group 1-2,text,true,,50032,424,10,10,http://localhost:3000/strona_glowna,758,0,0
1682193561709,758,(POST) Logowanie-0,302,Found,Thread Group 1-2,text,true,,266,295,10,10,http://localhost:3000/logowanie,758,0,0
1682193562469,1386,(POST) Logowanie-1,200,OK,Thread Group 1-2,text,true,,49766,129,10,10,http://localhost:3000/strona_glowna,1386,0,0
1682193561701,2152,Logowanie,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,51435,549,10,10,null,764,3,1
1682193563726,136,(GET) Logowanie,200,OK,Thread Group 1-10,text,true,,1403,125,10,10,http://localhost:3000/logowanie,136,0,1
1682193563963,10,(GET) Logowanie,200,OK,Thread Group 1-11,text,true,,1403,125,11,11,http://localhost:3000/logowanie,10,0,2
1682193561629,2698,(POST) Logowanie,200,OK,Thread Group 1-1,text,true,,50032,424,12,12,http://localhost:3000/strona_glowna,1041,0,0
1682193561629,1042,(POST) Logowanie-0,302,Found,Thread Group 1-1,text,true,,266,295,12,12,http://localhost:3000/logowanie,1041,0,0
1682193562671,1656,(POST) Logowanie-1,200,OK,Thread Group 1-1,text,true,,49766,129,12,12,http://localhost:3000/strona_glowna,1656,0,0
1682193561407,2742,Logowanie,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,51435,549,12,12,null,1079,168,25
1682193562227,2212,(POST) Logowanie,200,OK,Thread Group 1-4,text,true,,50032,424,12,12,http://localhost:3000/strona_glowna,906,0,0
1682193562227,906,(POST) Logowanie-0,302,Found,Thread Group 1-4,text,true,,266,295,12,12,http://localhost:3000/logowanie,906,0,0
1682193563133,1306,(POST) Logowanie-1,200,OK,Thread Group 1-4,text,true,,49766,129,12,12,http://localhost:3000/strona_glowna,1305,0,0
1682193562190,2247,Logowanie,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,51435,549,12,12,null,941,2,1
1682193562213,2339,(POST) Logowanie,200,OK,Thread Group 1-3,text,true,,50032,424,13,13,http://localhost:3000/strona_glowna,914,0,0
1682193562213,914,(POST) Logowanie-0,302,Found,Thread Group 1-3,text,true,,266,295,13,13,http://localhost:3000/logowanie,914,0,0
